CatalogNo,SongNumber,RecordingDay,RecordingMonth,RecordingYear,RecordingTime,RecordingTimeSeconds,Latitude,Longitude,TimeOfDay,PlaybackUsed,Duration of Song Bout (log(ms)),Mean Syllable Duration (log(ms)),Mean Inter-Syllable Silence Duration (log(ms)),Total Number of Syllables (log(number))
31,b1of4,10,6,1977,14:05:00,50700,49.48333,-123.33333,after noon,,7.959575406,3.2220454,3.100854666,4.110873864
15426,b7of7,21,4,1951,7:30:00,27000,21.00899,-99.115651,after sunrise,,7.697078066,3.834000176,3.514288083,3.33220451
15427,b3of9,13,6,1958,9:30:00,34200,48.682703,-113.644101,after sunrise,,8.161062317,3.394033122,3.26637288,4.143134726
15434,b9of32,15,5,1962,7:50:00,28200,38.61039,-79.871513,after sunrise,,7.934422497,3.428750784,3.23895154,3.912023005
15435,b2of4,12,6,1963,12:10:00,43800,44.659745,-84.129089,after noon,,7.864852767,3.78725132,3.068327386,3.688879454
15436,b3of8,16,6,1963,10:15:00,36900,46.704915,-92.525195,after sunrise,,7.733600172,3.833085987,3.166328612,3.496507561
15437,b5of26,23,6,1963,7:40:00,27600,47.840854,-83.403537,after sunrise,,7.859229281,3.501071751,3.110058686,3.850147602
15438,b5of16,25,6,1963,5:15:00,18900,48.1533,-80.031136,before sunrise,,7.899712858,3.416745398,3.082146938,3.951243719
15439,b1of21,13,5,1963,11:15:00,40500,35.641389,-83.58208,after sunrise,,7.875644021,3.713787125,2.884018446,3.80666249
15441,b1of3,12,4,1964,10:15:00,36900,40.903366,-84.38409,after sunrise,,7.16816403,3.325835062,3.2220454,3.218875825
15442,b4of7,24,4,1964,9:00:00,32400,40.903366,-84.38409,after sunrise,,6.97674815,4.290676856,3.289349082,2.397895273
15443,b2of7,6,6,1964,5:15:00,18900,44.517158,-83.962551,after sunrise,,7.834279187,3.634088415,3.317900522,3.663561646
26263,b1of12,24,4,1976,6:05:00,21900,39.6,-82.6,after sunrise,,7.720870056,3.770928891,3.411025471,3.433987204
26272,b2of21,24,4,1976,8:25:00,30300,39.6,-82.6,after sunrise,,6.860963117,4.355894494,3.85558462,2.079441542
26284,b1of17,15,5,1976,7:50:00,28200,39.6,-82.6,after sunrise,,7.45523422,3.808717989,3.336336748,3.17805383
38506,b1of6,8,6,1987,6:45:00,24300,42.26667,-76.63333,after sunrise,,7.550110293,4.033444329,3.952105231,2.890371758
38507,b3of24,8,6,1987,7:00:00,25200,42.2666667,-76.65,after sunrise,,7.289664694,4.514294603,3.830020707,2.397895273
38511,b1of3,8,6,1987,7:23:00,26580,42.2666667,-76.65,after sunrise,,7.571097595,4.285399799,3.439830033,2.944438979
39720,b3of5,22,7,1987,19:25:00,69900,46,-102,after noon,,7.898416987,3.992170365,3.774199219,3.33220451
39874,b2of9,20,4,1986,6:40:00,24000,42.43333,-123.03333,after sunrise,,7.813835329,3.029000439,3.00678211,4.110873864
40677,b2of13,5,5,1985,7:30:00,27000,43.83251,-121.261654,after sunrise,,7.754236479,3.264929531,2.945634065,3.951243719
42245,b7of16,12,6,1988,6:15:00,22500,42.983479,-120.828597,after sunrise,,7.716778917,3.805749831,3.515699657,3.36729583
44360,b3of8,24,5,1977,7:15:00,26100,31.883976,-109.206052,after sunrise,yes,7.897001392,3.450348978,3.31594812,3.828641396
49496,b2of9,13,6,1990,9:00:00,32400,39.68333,-120.43333,after sunrise,,7.865096551,3.650691799,3.117956595,3.761200116
49616,b1of9,9,6,1987,8:10:00,29400,42.25,-76.66667,after sunrise,,8.134141678,2.909507679,3.026454172,4.477336814
50145,b20of23,12,5,1990,7:56:00,28560,42.35485,-122.786982,after sunrise,,7.989076071,3.925111578,3.16322457,3.688879454
63030,b2of8,23,6,1991,5:00:00,18000,45.86667,-117.967,before sunrise,,8.450985553,3.259452287,3.267776389,4.49980967
63970,b6of8,22,5,1993,6:45:00,24300,45.2416667,-81.6333333,after sunrise,,7.552278948,4.48358529,3.482785496,2.772588722
73829,b1of15,6,6,1995,6:20:00,22800,39.71667,-120.46667,after sunrise,,7.770980052,3.887878995,2.96971993,3.555348061
73848,b1of21,8,6,1995,5:20:00,19200,39.75,-120.35,before sunrise,,7.038783541,3.964208759,2.986162823,2.772588722
73955,b13of16,27,5,1992,12:12:00,43920,38.476098,-86.540068,after noon,,7.756684461,3.877300098,3.240253469,3.465735903
76556,b2of20,18,6,1994,10:45:00,38700,48.227419,-101.258572,after sunrise,,7.886081402,2.589013247,3.089791069,4.33073334
76777,b4of17,4,6,1992,13:11:00,47460,31.0333,-92.9667,after noon,,7.783488532,3.663646829,2.846419958,3.761200116
80351,b8of21,6,6,1991,7:00:00,25200,39.58333,-120.11667,after sunrise,,7.702398375,3.453914164,3.250290298,3.663561646
84583,b43.35,12,6,1997,5:01:00,18060,39.71667,-120.46667,before sunrise,,6.919432862,3.327927001,3.5148567,2.833213344
84755,b11of13,6,4,1997,7:58:00,28680,39.25,-77.4,after sunrise,,7.857143006,3.37264548,3.134916593,3.912023005
87491,b1of4,5,5,1998,6:56:00,24960,42.605724,-76.535519,after sunrise,,7.833902042,4.590137119,3.373813878,2.995732274
93745,b9of9,7,5,1998,8:15:00,29700,42.354488,-76.692551,after sunrise,,7.805720388,4.053118312,3.2220454,3.401197382
94460,b3of17,19,7,1998,5:55:00,21300,39.46667,-77.75,before sunrise,,7.496951884,4.566605342,4.075897437,2.48490665
94461,b20of50,19,7,1998,5:55:00,21300,39.4784068,-77.7443647,before sunrise,,7.870323573,4.677729674,3.900046814,2.833213344
94463,b5of10,19,7,1998,5:55:00,21300,39.4784068,-77.744236,before sunrise,,7.718332699,4.703458131,3.748302875,2.708050201
