CatalogNo,RecordingDay,RecordingMonth,RecordingYear,RecordingTime,RecordingTimeSeconds,Latitude,Longitude,Duration of Song Bout (log(ms)),Mean Syllable Duration (log(ms)),Mean Inter-Syllable Silence Duration (log(ms)),Total Number of Syllables (log(number))
527118,30,3,2017,7:15:00,26100,13.531,-84.138,7.594053663,4.065357025,3.765639355,2.995732274
15421,24,4,1952,,,42.479981,-76.451126,7.749459292,3.526863164,3.263799671,3.663561646
64236,,6,1952,,,43.894197,-79.469649,7.965214831,4.220987662,3.474765309,3.36729583
64239,30,6,1956,,,50.657836,-99.963618,7.540545659,4.355572865,3.107421924,2.944438979
64242,17,7,1958,,,43.289007,-80.385665,7.896647179,3.257893017,2.951170446,4.094344562
64240,27,6,1958,,,50.658298,-99.971452,8.331054836,3.617379664,3.030013811,4.276666119
64238,19,6,1963,,,45.591612,-78.522575,7.867044682,3.307805799,3.063466492,3.988984047
22881,19,4,1956,,,36.379322,-121.566604,7.738038459,2.902351448,3.013332728,4.094344562
44360,24,5,1977,7:15:00,26100,31.883976,-109.206052,7.897001392,3.450348978,3.31594812,3.828641396
38511,8,6,1987,7:23:00,26580,42.2666667,-76.65,7.571097595,4.285399799,3.439830033,2.944438979
87491,5,5,1998,6:56:00,24960,42.605724,-76.535519,7.833902042,4.590137119,3.373813878,2.995732274
64237,19,7,1952,,,43.863045,-79.564795,7.85382054,4.164218879,3.355693991,3.33220451
167877,11,7,2014,8:48:00,31680,42.4352876,-76.3051343,7.452107781,4.041379027,3.427850972,2.995732274
213694,11,7,2008,5:18:00,19080,42.3540407,-76.6856003,7.304078195,4.251729398,3.655987876,2.63905733
141608,13,6,2000,8:31:00,30660,39.6333333,-120.2833333,7.998825974,3.581786431,2.973626907,3.988984047
141599,13,6,2000,6:35:00,23700,39.6333333,-120.2833333,7.763722931,4.009239852,3.068667979,3.433987204
176280,24,6,2010,5:57:00,21420,39.1324693,-86.3456726,6.462459748,4.315722888,3.645076832,1.791759469
176261,10,7,2009,6:15:00,22500,39.0895361,-86.2209284,7.535982913,3.799517027,3.246096583,3.295836866
176251,3,7,2009,12:30:00,45000,39.1161497,-86.1766291,7.755325211,2.998751144,2.848427877,4.143134726
176221,30,6,2009,6:40:00,24000,39.0726508,-86.2634254,7.984435691,4.285264937,3.387881606,3.36729583
224622,17,6,2009,4:15:00,15300,44.4840605,-74.4020104,6.521158655,4.305473674,3.287374747,1.945910149
224606,16,6,2009,4:38:00,16680,44.4805241,-74.407289,6.645771894,4.286943187,3.770142418,1.945910149
